agency_name,response_count,agency_name_display,most_helpful_top_words,most_helpful_top_bigrams,least_helpful_top_words,least_helpful_top_bigrams
village healthcare center,3,Village Healthcare Center,practice:2 | doing:2 | working:1 | clients:1 | intake:1 | discharge:1 | work:1 | valued:1 | learning:1 | community:1 | organization:1 | capacity:1 | building:1 | create:1 | change:1 | beyond:1 | individual:1 | cases:1 | strengthened:1 | understanding:1,practice working:1 | working clients:1 | clients doing:1 | doing intake:1 | intake discharge:1 | discharge work:1 | valued learning:1 | learning community:1 | community organization:1 | organization capacity:1 | capacity building:1 | building create:1 | create change:1 | change beyond:1 | beyond individual:1,like:3 | doing:2 | over:2 | rather:2 | help:2 | taught:1 | new:1 | used:1 | employee:1 | than:1 | student:1 | working:1 | people:1 | vacation:1 | learn:1 | outside:1 | agencies:1 | community:1 | clients:1 | work:1,like doing:1 | doing over:1 | over over:1 | over taught:1 | taught new:1 | new like:1 | like used:1 | used employee:1 | employee rather:1 | rather than:1 | than student:1 | student doing:1 | doing working:1 | working people:1 | people vacation:1
virtually assisted school team,3,Virtually Assisted School Team,telehealth:2 | online:2 | help:2 | planning:2 | practicum:1 | technology:1 | engage:1 | clients:1 | think:1 | good:1 | fit:1 | learning:1 | create:1 | acitivites:1 | behavioral:1 | health:1 | one:1 | best:1 | experiences:1 | social:1,practicum telehealth:1 | telehealth technology:1 | technology engage:1 | engage clients:1 | clients online:1 | online think:1 | think telehealth:1 | telehealth good:1 | good fit:1 | fit learning:1 | learning create:1 | create online:1 | online acitivites:1 | acitivites help:1 | help behavioral:1,weeks:2 | think:1 | helped:1 | known:1 | little:1 | bit:1 | grant:1 | why:1 | sessions:1 | tracked:1 | one:1 | frustration:1 | observational:1 | than:1 | active:1 | feedback:1 | came:1 | too:1 | late:1 | useful:1,think helped:1 | helped known:1 | known little:1 | little bit:1 | bit grant:1 | grant why:1 | why sessions:1 | sessions tracked:1 | frustration weeks:1 | weeks observational:1 | observational than:1 | than active:1 | feedback came:1 | came too:1 | too late:1
vivent health,4,Vivent Health,community:2 | practice:2 | gave:2 | organization:1 | tasks:1 | helped:1 | understand:1 | mezzo:1 | macro:1 | concrete:1 | like:1 | placement:1 | room:1 | grow:1 | included:1 | meetings:1 | regular:1 | check:1 | ins:1 | direct:1,community organization:1 | organization tasks:1 | tasks helped:1 | helped understand:1 | understand mezzo:1 | mezzo macro:1 | macro practice:1 | practice concrete:1 | like placement:1 | placement gave:1 | gave room:1 | room grow:1 | grow included:1 | included meetings:1 | meetings regular:1,having:1 | fewer:1 | opportunities:1 | direct:1 | service:1 | than:1 | expected:1 | first:1 | weeks:1 | unstructured:1 | say:1 | isn:1 | applicable:1 | everything:1 | found:1 | learning:1 | experience:1 | work:1 | school:1,having fewer:1 | fewer opportunities:1 | opportunities direct:1 | direct service:1 | service than:1 | than expected:1 | first weeks:1 | weeks unstructured:1 | say isn:1 | isn applicable:1 | applicable everything:1 | everything found:1 | found learning:1 | learning experience:1 | experience work:1
vocational rehab,11,Vocational Rehab,work:5 | helped:5 | resource:3 | support:3 | practice:3 | clients:3 | taught:2 | assessment:2 | learning:2 | coordination:2 | referrals:2 | documentation:2 | meetings:2 | build:2 | confidence:2 | visit:2 | one:2 | group:2 | supervisor:1 | amazing:1,helped work:2 | helped build:2 | build confidence:2 | visit clients:2 | supervisor amazing:1 | amazing challenging:1 | challenging think:1 | think critically:1 | critically engage:1 | engage ethically:1 | ethically curiosity:1 | curiosity ask:1 | ask every:1 | every question:1 | resource linkage:1,one:4 | frustration:4 | needed:3 | client:2 | contact:2 | fewer:2 | office:2 | tasks:2 | than:2 | level:1 | emotional:1 | intensity:1 | certain:1 | days:1 | times:1 | too:1 | event:1 | coordination:1 | hard:1 | grow:1,frustration needed:2 | client contact:2 | contact fewer:2 | fewer office:2 | office tasks:2 | level emotional:1 | emotional intensity:1 | intensity certain:1 | certain days:1 | frustration times:1 | times too:1 | too event:1 | event coordination:1 | tasks hard:1 | hard grow:1
watson children's shelter,8,Watson Children's Shelter,helped:6 | practice:4 | children:4 | support:3 | policy:3 | doing:2 | case:2 | see:2 | meetings:2 | close:2 | understand:2 | better:2 | interagency:2 | coordination:2 | feedback:2 | work:2 | informed:2 | social:2 | understanding:2 | crisis:2,close helped:2 | helped understand:2 | understand policy:2 | policy practice:2 | practice better:2 | interagency coordination:2 | children crisis:2 | observing doing:1 | doing case:1 | case management:1 | management support:1 | helped see:1 | see case:1 | case staffing:1 | staffing meetings:1,expectations:2 | clear:2 | start:2 | bit:1 | structure:1 | beginning:1 | one:1 | frustration:1 | wanted:1 | little:1 | independent:1 | practice:1 | probably:1 | transporting:1 | children:1 | various:1 | appointments:1 | important:1 | build:1 | relationships:1,expectations clear:2 | clear start:2 | bit structure:1 | structure beginning:1 | frustration wanted:1 | wanted little:1 | little independent:1 | independent practice:1 | probably transporting:1 | transporting children:1 | children various:1 | various appointments:1 | appointments important:1 | important build:1 | build relationships:1
west county health services,4,West County Health Services,learn:2 | debrief:2 | policy:2 | biggest:1 | help:1 | home:1 | visits:1 | caregiver:1 | support:1 | supervision:1 | consistent:1 | chances:1 | documentation:1 | observe:1 | assessments:1 | build:1 | confidence:1 | appreciated:1 | exposure:1 | discussions:1,help learn:1 | learn home:1 | home visits:1 | visits caregiver:1 | caregiver support:1 | support debrief:1 | supervision consistent:1 | consistent chances:1 | chances documentation:1 | documentation observe:1 | observe assessments:1 | assessments build:1 | build confidence:1 | confidence appreciated:1 | appreciated exposure:1,wanted:1 | direct:1 | practice:1 | instead:1 | mostly:1 | observation:1 | onboarding:1 | process:1 | clearer:1 | liked:1 | consistency:1 | early:1 | directly:1 | site:1,wanted direct:1 | direct practice:1 | practice instead:1 | instead mostly:1 | mostly observation:1 | onboarding process:1 | process clearer:1 | liked consistency:1 | consistency early:1 | directly site:1
western montana mental health center,11,Western Montana Mental Health Center,community:4 | appreciated:3 | learn:3 | biggest:3 | help:3 | meetings:3 | support:3 | case:3 | practice:2 | understand:2 | group:2 | debrief:2 | brought:2 | policy:2 | partnerships:2 | instead:2 | doing:2 | tasks:2 | staffing:2 | helped:2,appreciated learn:2 | help brought:2 | community partnerships:2 | instead doing:2 | doing support:2 | support tasks:2 | case staffing:2 | staffing meetings:2 | combination practice:1 | practice individuals:1 | individuals skills:1 | skills come:1 | come training:1 | training helps:1 | helps understand:1,wanted:3 | practice:3 | one:3 | frustration:3 | direct:2 | instead:2 | mostly:2 | observation:2 | quickly:2 | say:2 | agency:2 | lack:1 | coordination:1 | organization:1 | agencies:1 | within:1 | community:1 | uncertainty:1 | frameworks:1 | procedures:1,wanted direct:2 | direct practice:2 | practice instead:2 | instead mostly:2 | mostly observation:2 | lack coordination:1 | coordination organization:1 | organization agencies:1 | agencies within:1 | within community:1 | community uncertainty:1 | uncertainty frameworks:1 | frameworks procedures:1 | hardest training:1 | training thin:1
western montana's lgbtq+ community center,3,Western Montana's Lgbtq+ Community Center,community:3 | learned:2 | helped:2 | practice:2 | lgbtq:2 | brief:1 | intervention:1 | work:1 | social:1 | workers:1 | meaningful:1 | use:1 | short:1 | client:1 | contact:1 | apply:1 | strengths:1 | perspective:1 | appreciate:1 | having:1,lgbtq community:2 | learned brief:1 | brief intervention:1 | intervention work:1 | work social:1 | social workers:1 | workers meaningful:1 | meaningful use:1 | use short:1 | short client:1 | client contact:1 | contact helped:1 | helped apply:1 | apply strengths:1 | strengths perspective:1,one:2 | tasks:2 | fast:1 | pace:1 | limited:1 | reflection:1 | depth:1 | teaching:1 | wish:1 | able:1 | spend:1 | working:1 | see:1 | different:1 | types:1 | executive:1 | director:1 | needed:1 | client:1 | contact:1,fast pace:1 | pace limited:1 | limited reflection:1 | reflection depth:1 | depth teaching:1 | wish able:1 | able spend:1 | spend working:1 | working one:1 | one one:1 | one see:1 | see different:1 | different types:1 | types tasks:1 | tasks executive:1
winds of change mental health center,17,Winds Of Change Mental Health Center,work:9 | coordination:6 | appreciated:6 | support:5 | clients:4 | referrals:4 | family:4 | included:4 | instead:4 | observing:4 | social:4 | opportunities:4 | experience:3 | honestly:3 | exposure:3 | documentation:3 | helped:3 | build:3 | confidence:3 | community:3,social work:4 | build confidence:3 | appreciated included:3 | real exposure:2 | cps coordination:2 | honestly appreciated:2 | resource referrals:2 | helped build:2 | family support:2 | care coordination:2 | included family:2 | coordination instead:2 | work opportunities:2 | macro level:2 | level social:2,work:6 | practice:5 | too:4 | needed:4 | practicum:4 | hardest:3 | shadowing:3 | hours:3 | one:2 | frustration:2 | admin:2 | enough:2 | hands:2 | honestly:2 | chances:2 | try:2 | skills:2 | paperwork:2 | week:2 | working:2,too admin:2 | admin work:2 | shadowing needed:2 | practicum students:2 | nothing learned:1 | learned new:1 | new everyday:1 | frustration too:1 | honestly hardest:1 | hardest shadowing:1 | hardest times:1 | times too:1 | too intake:1 | intake paperwork:1 | experience depended:1
women's resource center,9,Women's Resource Center,clients:3 | support:3 | role:2 | learning:2 | weeks:2 | learned:2 | real:2 | helped:2 | tasks:2 | direct:2 | practice:2 | found:1 | practicum:1 | first:1 | interacted:1 | lowest:1 | moments:1 | knowing:1 | next:1 | beneficial:1,direct practice:2 | found practicum:1 | practicum first:1 | first interacted:1 | interacted clients:1 | clients lowest:1 | lowest moments:1 | moments knowing:1 | knowing next:1 | next beneficial:1 | beneficial continuously:1 | continuously engage:1 | engage problem:1 | problem solving:1 | solving process:1,process:2 | times:2 | limited:2 | educational:2 | skills:2 | found:1 | organization:1 | don:1 | solid:1 | answer:1 | onboarding:1 | clearer:1 | administration:1 | understanding:1 | use:1 | social:1 | worker:1 | expectations:1 | clear:1 | wanted:1,found organization:1 | organization don:1 | don solid:1 | solid answer:1 | onboarding process:1 | process clearer:1 | administration understanding:1 | understanding use:1 | use social:1 | social worker:1 | times expectations:1 | expectations clear:1 | wanted direct:1 | direct practice:1 | practice instead:1
wyoming behavioral institute,3,Wyoming Behavioral Institute,appreciated:1 | work:1 | resource:1 | coordination:1 | advocacy:1 | connect:1 | class:1 | content:1 | practice:1 | support:1 | guidance:1 | provided:1 | social:1 | workers:1 | agency:1 | biggest:1 | help:1 | clients:1 | tasks:1 | mobile:1,appreciated work:1 | work resource:1 | resource coordination:1 | coordination advocacy:1 | advocacy connect:1 | connect class:1 | class content:1 | content practice:1 | support guidance:1 | guidance provided:1 | provided social:1 | social workers:1 | workers agency:1 | help clients:1 | clients tasks:1,weeks:1 | observational:1 | than:1 | active:1 | spending:1 | practicum:1 | one:1 | age:1 | population:1 | shadowing:1 | needed:1 | chances:1 | try:1 | skills:1,weeks observational:1 | observational than:1 | than active:1 | spending practicum:1 | practicum one:1 | one age:1 | age population:1 | shadowing needed:1
yellowstone boys and girls ranch,4,Yellowstone Boys And Girls Ranch,practice:4 | helped:2 | enough:2 | tasks:2 | strong:1 | support:1 | connect:1 | coursework:1 | real:1 | systems:1 | level:1 | meetings:1 | understand:1 | decisions:1 | affect:1 | service:1 | delivery:1 | direct:1 | experience:1 | client:1,strong support:1 | support connect:1 | connect coursework:1 | coursework practice:1 | practice real:1 | real systems:1 | systems level:1 | level meetings:1 | meetings helped:1 | helped understand:1 | understand decisions:1 | decisions affect:1 | affect service:1 | service delivery:1 | enough direct:1,work:3 | policy:2 | first:2 | harder:1 | understand:1 | weeks:1 | unstructured:1 | too:1 | admin:1 | enough:1 | client:1 | contact:1 | unclear:1 | expectations:1 | start:1 | wasn:1 | able:1 | engage:1 | within:1 | practicum:1,policy work:2 | work harder:1 | harder understand:1 | understand first:1 | first first:1 | first weeks:1 | weeks unstructured:1 | too admin:1 | admin work:1 | enough client:1 | client contact:1 | contact unclear:1 | unclear expectations:1 | expectations start:1 | wasn able:1
youth court services,4,Youth Court Services,practice:2 | like:2 | work:2 | gave:2 | community:1 | based:1 | research:1 | helped:1 | think:1 | collaboration:1 | stakeholder:1 | input:1 | ethical:1 | use:1 | data:1 | strengthened:1 | understanding:1 | generalist:1 | across:1 | systems:1,community based:1 | based research:1 | research helped:1 | helped think:1 | think collaboration:1 | collaboration stakeholder:1 | stakeholder input:1 | input ethical:1 | ethical use:1 | use data:1 | data strengthened:1 | strengthened understanding:1 | understanding generalist:1 | generalist practice:1 | practice across:1,placement:1 | useful:1 | client:1 | contact:1 | limited:1 | than:1 | expected:1 | first:1 | weeks:1 | unstructured:1 | having:1 | clinical:1 | opportunity:1 | onboarding:1 | process:1 | clearer:1,placement useful:1 | useful client:1 | client contact:1 | contact limited:1 | limited than:1 | than expected:1 | first weeks:1 | weeks unstructured:1 | having clinical:1 | clinical opportunity:1 | onboarding process:1 | process clearer:1
youth crisis center inc,9,Youth Crisis Center Inc.,helped:5 | practice:5 | real:4 | support:3 | coordination:3 | experience:3 | learning:3 | exposure:2 | planning:2 | connect:2 | appreciated:2 | work:2 | build:2 | confidence:2 | environment:2 | wanted:2 | learn:2 | aps:2 | documentation:2 | safety:1,real exposure:2 | helped build:2 | build confidence:2 | aps coordination:2 | coordination documentation:2 | helped real:1 | exposure safety:1 | safety planning:1 | planning crisis:1 | crisis support:1 | learned direct:1 | direct practice:1 | practice feedback:1 | feedback connect:1 | connect coursework:1,slow:2 | fewer:2 | tasks:2 | needed:2 | practice:2 | one:2 | frustration:2 | weeks:1 | observational:1 | than:1 | active:1 | periods:1 | hardest:1 | client:1 | contact:1 | office:1 | pace:1 | personal:1 | adjustment:1 | times:1,weeks observational:1 | observational than:1 | than active:1 | slow periods:1 | periods fewer:1 | fewer tasks:1 | hardest needed:1 | client contact:1 | contact fewer:1 | fewer office:1 | office tasks:1 | slow pace:1 | pace practice:1 | practice personal:1 | personal adjustment:1
